name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Morning Fire Ceremony,0.2,0,0,0,0.4,0,0,0,0,0.3
Trancer,0,0,0.35,0.35,0.35,0,0,0,0,0
Ritual Drumming,0.5,0.4,0,0,0,0,0,0,0,0.4
Grand Master,0,0,0.25,0.25,0.25,0,0.45,0,0,0
Singing Duet,0,0,0,0,0,0.2,0.45,0.45,0,0
Pilgrims,0.25,0.25,0,0,0,0.5,0,0,0,0.33
Pray and Shout,0.24,0.24,0,0,0,0.4,0.4,0,0.55,0.33
