name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Calming Brook,0.4,0.2,0,0,0,0,0,0,0,0
Midnight Bath,0.2,0.3,0.5,0,0,0,0.3,0,0,0.35
Herdly Welcome,0.2,0,0,0.45,0.45,0.45,0,0,0,0
Dawn Chorus,0,0,0,0,0,0,0.4,0.4,0.4,0
Full Moon,0.15,0.4,0,0.15,0.15,0.15,0,0,0,0.6
Stay Quiet,0.2,0,0,0,0,0.6,0.2,0.2,0,0
Lively Brook,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0
