name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Tines Only,0.35,0,0.35,0,0.35,0,0.35,0,0,0
Remember Harold,0.3,0,0.3,0,0.3,0,0.3,0,0,0.4
Good Vibes,0.35,0.35,0.35,0,0,0,0,0,0,0
Dreaming,0.25,0,0.3,0.35,0,0.35,0,0,0,0
Floating,0,0.35,0,0.35,0,0.35,0,0.35,0,0
Fading Chaos,0,0,0.35,0.35,0,0,0,0.35,0.2,0.2
Souvenirs,0,0.35,0,0,0,0,0,0,0,0.35
Amnesia,0,0,0,0,0,0,0,0.3,0.25,0
