name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Ambience,0,0,0.5,0.5,0,0,0,0,0,0
Kiss Us,0.2,0,0.1,0.5,0.5,0,0,0,0,0
Canoe & Snipes,0.4,0.5,0,0,0,0.5,0,0,0,0
Snipes & Lapwings,0.3,0,0,0,0,0.5,0.5,0,0,0
Midnight Loon,0.3,0,0,0,0.2,0,0,0,0.5,0
Loon Calls,0.3,0,0,0,0,0,0,0.5,0.5,0
Windy Lake,0.5,0.2,0,0,0,0,0,0.2,0.2,0.5
