name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Deep and Low,0.3,0.3,0.3,0,0,0,0,0,0,0
Underground Meditation,0.3,0.3,0.3,0,0,0,0,0.3,0.3,0.3
Relaxed,0,0,0,0.3,0.3,0.3,0.3,0,0,0
Timeless,0,0.35,0,0,0,0,0,0,0,0.3
Cave Bells,0,0,0,0,0,0,0,0,0.4,0.4
Carillon,0.3,0,0.3,0,0.3,0,0.3,0,0.3,0
Chime,0,0.3,0,0.3,0,0.3,0,0.3,0,0.3
Cave Gong,0.4,0,0,0,0,0,0,0,0,0
