name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
Prayer Call,0.35,0.45,0.35,0,0,0,0,0,0,0
Eastern Asian Temple,0,0,0,0.55,0,0,0,0,0,0.35
Himalayan Monks,0,0,0,0,0.45,0.3,0,0,0,0
Tibetan Celebration,0,0,0,0,0,0.3,0.45,0,0,0
Wind Bells,0,0,0,0,0,0,0,0.35,0,0.45
Low in Altitude,0.55,0.35,0,0.45,0.35,0,0,0,0,0
Low Drone,0.5,0.4,0,0,0,0,0,0,0,0
Slow Beats,0,0,0.5,0,0,0,0,0,0.35,0
