name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
War Drums,0.3,0.5,0.3,0,0,0,0,0,0,0
Echoes of Japan,0,0,0,0,0.23,0.23,0.4,0,0.4,0
Made in China,0,0,0,0.2,0.2,0.2,0,0,0,0.4
Trancer,0.4,0.25,0.15,0.35,0,0,0,0,0,0
Evanescence,0,0,0,0.35,0.35,0.35,0.35,0,0,0
Breathing Spirit,0,0,0,0.35,0.35,0,0,0.4,0.4,0
Dual Culture,0,0.45,0.32,0,0,0.26,0,0.4,0.4,0
Eastern Empire,0.4,0.25,0.3,0.3,0.45,0.3,0.4,0.45,0.3,0.5
L?f?i?r,0,0,0.2,0.3,0.4,0.15,0.3,0,0.55,0.25
