name,volumeZero,volumeOne,volumeTwo,volumeThree,volumeFour,volumeFive,volumeSix,volumeSeven,volumeEight,volumeNine
B-17 Flying Fortress,0,0,0.4,0.3,0,0,0.3,0,0.1,0.1
B-29 Superfortress,0,0.45,0.4,0.38,0,0,0,0,0.13,0.12
Open Bay,0,0.45,0.4,0.38,0,0,0.4,0.3,0.13,0.12
Cockpit View,0,0.5,0.25,0.2,0.35,0.35,0.1,0,0.2,0
Night Bombing,0.9,0.52,0.35,0.28,0.21,0.21,0.29,0.18,0.15,0.14
Hoverfly,0,0,0.31,0,0,0.3,0.46,0.3,0,0.27
ATC Comms,0,0,0,0,0.4,0.4,0,0,0,0
WW2 Archives,0.73,0,0,0.36,0.22,0.22,0,0,0,0
The Real Thing !!! very LOUD,0.8,0.85,0.8,0.8,0.6,0.6,0.8,0.3,0.3,0.3
