name,title,description
KJV_BeStillGod,"Keep not thou silence, O God: hold not thy peace, and be not still, O God.","Keep not thou silence, O God: hold not thy peace, and be not still, O God."
KJV_BeStillGod,"Be still, and know that I am God: I will be exalted among the heathen, I will be exalted in the earth.","Be still, and know that I am  God: I will be exalted among the heathen, I will be exalted in the earth."
KJV_BeStillGod,"And they also, if they abide not still in unbelief, shall be graffed in: for God is able to graff them in again.","And they also, if they abide not still in unbelief, shall be graffed in: for God is able to graff them in again."
KJV_BeStillGod,"And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto him, Be of good comfort, rise; he calleth thee.","And Jesus stood still, and commanded him to be called. And they call the blind man, saying unto him, Be of good comfort, rise; he calleth thee."
KJV_BeStillGod,"And they said, Arise, that we may go up against them: for we have seen the land, and, behold, it is  very good: and  are  ye still? be not slothful to go,  and  to enter to possess the land.","And they said, Arise, that we may go up against them: for we have seen the land, and, behold, it is  very good: and  are  ye still? be not slothful to go,  and  to enter to possess the land."
KJV_BeStillGod,"Why do we sit still? assemble yourselves, and let us enter into the defenced cities, and let us be silent there: for the LORD  our God hath put us to silence, and given us water of gall to drink, because we have sinned against the  LORD .","Why do we sit still? assemble yourselves, and let us enter into the defenced cities, and let us be silent there: for the LORD  our God hath put us to silence, and given us water of gall to drink, because we have sinned against the  LORD ."
KJV_BeStillGod,"Ye shall not need  to fight in this  battle:  set yourselves, stand ye  still , and see the salvation of the  LORD  with you, O Judah and Jerusalem: fear not, nor be dismayed; to morrow go out against them: for the  LORD   will be  with you.","Ye shall not need  to fight in this  battle:  set yourselves, stand ye  still , and see the salvation of the  LORD  with you, O Judah and Jerusalem: fear not, nor be dismayed; to morrow go out against them: for the  LORD   will be  with you."
KJV_BeStillGod,"And Absalom answered Joab, Behold, I sent unto thee, saying, Come hither, that I may send thee to the king, to say, Wherefore am I come from Geshur? it had been  good for me  to have been  there still: now therefore let me see the king?s face; and if there be  any  iniquity in me, let him kill me.","And Absalom answered Joab, Behold, I sent unto thee, saying, Come hither, that I may send thee to the king, to say, Wherefore am I come from Geshur? it had been  good for me  to have been  there still: now therefore let me see the king?s face; and if there be  any  iniquity in me, let him kill me."
