title,description,name
I am motivated by the future I envision,I am motivated by the future I envision,LackOfMotivation
In order to achieve my dreams I need to work hard,In order to achieve my dreams I need to work hard,LackOfMotivation
I am becoming who I dream to be,I am becoming who I dream to be,LackOfMotivation
I can do more than my mind tells me I can,I can do more than my mind tells me I can,LackOfMotivation
I work hard towards my goals,I work hard towards my goals,LackOfMotivation
One step forward towards my goals is one giant leap away from depression,One step forward towards my goals is one giant leap away from depression,LackOfMotivation
My hard work now will pay off in the future,My hard work now will pay off in the future,LackOfMotivation
I can do anything I put my mind to,I can do anything I put my mind to,LackOfMotivation
